"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @allkpop: Boy group #ATEEZ donates 100 million KRW to the Korea Disaster Relief Association to support recovery after Itaewon tragedy
ht…",FALSE,0,,2022-11-05 05:55:40,FALSE,,"1588772013166178309",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sangsang4D",2602,TRUE,FALSE,,
"RT @allkpop: Boy group #ATEEZ donates 100 million KRW to the Korea Disaster Relief Association to support recovery after Itaewon tragedy
ht…",FALSE,0,,2022-11-05 05:55:38,FALSE,,"1588772006555947011",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","markyonggf",2602,TRUE,FALSE,,
"Today's dragging and sub goes to Ada Anambra 🤣😄😂.

Girl get mind post her national disaster on twitter.

Let's enjoy the drag😂🤣",FALSE,8,,2022-11-05 05:55:36,FALSE,,"1588771997353668609",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SamuelIzuchuk18",1,FALSE,FALSE,,
"RT @hwaupdates: ateez donated 100M won to the hope bridge korea disaster relief association in support of the itaewon tragedy. the donation…",FALSE,0,,2022-11-05 05:55:34,FALSE,,"1588771985886437377",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hamuhamoo1",969,TRUE,FALSE,,
"RT @txtpsh: #ATEEZ donated 100 million won (article stated that they donated from their concert profit) to support the Itaewon accident to…",FALSE,0,,2022-11-05 05:55:33,FALSE,,"1588771984670068737",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SEROTANEEZ",721,TRUE,FALSE,,
"RT @DefenceU: The russian occupiers staged a man-made natural disaster in the Kharkiv region. 
While retreating, they blew up the floodgate…",FALSE,0,,2022-11-05 05:55:26,FALSE,,"1588771953867100162",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","extensionfear",2495,TRUE,FALSE,,
"RT @allkpop: Boy group #ATEEZ donates 100 million KRW to the Korea Disaster Relief Association to support recovery after Itaewon tragedy
ht…",FALSE,0,,2022-11-05 05:55:23,FALSE,,"1588771942282440706",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farooh2301",2602,TRUE,FALSE,,
"Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster AEUXW74

https://t.co/h7hDAPC761",FALSE,0,,2022-11-05 05:55:22,FALSE,,"1588771936297160704",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","goldnerrjgdz",0,FALSE,FALSE,,
"RT @hwaupdates: ateez donated 100M won to the hope bridge korea disaster relief association in support of the itaewon tragedy. the donation…",FALSE,0,,2022-11-05 05:55:21,FALSE,,"1588771932149026816",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sanhw4lvr",969,TRUE,FALSE,,
"RT @hwaupdates: ateez donated 100M won to the hope bridge korea disaster relief association in support of the itaewon tragedy. the donation…",FALSE,0,,2022-11-05 05:55:20,FALSE,,"1588771929271721984",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","W00MIST",969,TRUE,FALSE,,
